step,stage,machine_id,machine_age,in_maintenance,maintenance_timer,failed,buffer_level,wips_in_machine,wips_held,action,reward
71,0,1,0.0,1,2,0,1200,0,0,1,-13000.0
71,1,2,0.0,1,1,0,400,0,0,0,-13000.0
71,1,3,0.0,1,2,0,400,0,0,1,-13000.0
72,0,0,0.0,1,2,0,1200,0,0,1,-8000.0
72,0,1,0.0,1,1,0,1200,0,0,1,-8000.0
72,1,2,1.0,0,0,0,400,100,0,1,-8000.0
72,1,3,0.0,1,1,0,400,0,0,0,-8000.0
73,0,0,0.0,1,1,0,1100,0,0,1,-7000.0
73,0,1,1.0,0,0,0,1100,100,0,0,-7000.0
73,1,2,0.0,1,2,0,300,0,0,1,-7000.0
73,1,3,1.0,0,0,0,300,100,0,0,-7000.0
74,0,0,1.0,0,0,0,900,100,0,0,-1000.0
74,0,1,2.0,0,0,0,900,100,0,0,-1000.0
74,1,2,0.0,1,1,0,300,0,0,0,-1000.0
74,1,3,2.0,0,0,0,300,100,0,0,-1000.0
75,0,0,0.0,1,2,0,800,0,0,1,-6000.0
75,0,1,3.0,0,0,0,800,100,0,0,-6000.0
75,1,2,1.0,0,0,0,300,100,0,1,-6000.0
75,1,3,3.0,0,0,0,300,100,0,0,-6000.0
76,0,0,0.0,1,1,0,1400,0,0,0,-11680.0
76,0,1,4.0,0,0,0,1400,100,0,0,-11680.0
76,1,2,2.0,0,0,0,300,100,0,0,-11680.0
76,1,3,0.0,1,2,0,300,0,0,1,-11680.0
77,0,0,1.0,0,0,0,1200,100,0,1,-1000.0
77,0,1,5.0,0,0,0,1200,100,0,0,-1000.0
77,1,2,3.0,0,0,0,300,100,0,0,-1000.0
77,1,3,0.0,1,1,0,300,0,0,0,-1000.0
78,0,0,0.0,1,2,0,1100,0,0,1,-12000.0
78,0,1,6.0,0,0,0,1100,100,0,0,-12000.0
78,1,2,0.0,1,2,0,400,0,0,1,-12000.0
78,1,3,1.0,0,0,0,400,100,0,1,-12000.0
79,0,0,0.0,1,1,0,1100,0,0,0,-8000.0
79,0,1,0.0,1,2,0,1100,0,0,1,-8000.0
79,1,2,0.0,1,1,0,400,0,0,0,-8000.0
79,1,3,2.0,0,0,0,400,100,0,0,-8000.0
80,0,0,1.0,0,0,0,1000,100,0,0,-1000.0
80,0,1,0.0,1,1,0,1000,0,0,1,-1000.0
80,1,2,1.0,0,0,0,200,100,0,0,-1000.0
80,1,3,3.0,0,0,0,200,100,0,0,-1000.0
81,0,0,2.0,0,0,0,800,100,0,0,-6000.0
81,0,1,1.0,0,0,0,800,100,0,1,-6000.0
81,1,2,0.0,1,2,0,200,0,0,1,-6000.0
81,1,3,4.0,0,0,0,200,100,0,0,-6000.0
82,0,0,3.0,0,0,0,700,100,0,0,-13000.0
82,0,1,0.0,1,2,0,700,0,0,1,-13000.0
82,1,2,0.0,1,1,0,400,0,0,1,-13000.0
82,1,3,0.0,1,2,0,400,0,0,1,-13000.0
83,0,0,4.0,0,0,0,1400,100,0,0,-6410.0
83,0,1,0.0,1,1,0,1400,0,0,0,-6410.0
83,1,2,1.0,0,0,0,400,100,0,1,-6410.0
83,1,3,0.0,1,1,0,400,0,0,0,-6410.0
84,0,0,5.0,0,0,0,1200,100,0,0,-6000.0
84,0,1,1.0,0,0,0,1200,100,0,1,-6000.0
84,1,2,0.0,1,2,0,400,0,0,1,-6000.0
84,1,3,1.0,0,0,0,400,100,0,1,-6000.0
85,0,0,0.0,1,2,0,1200,0,0,1,-19000.0
85,0,1,0.0,1,2,0,1200,0,0,1,-19000.0
85,1,2,0.0,1,1,0,600,0,0,1,-19000.0
85,1,3,0.0,1,2,0,600,0,0,1,-19000.0
86,0,0,0.0,1,1,0,1200,0,0,0,-3000.0
86,0,1,0.0,1,1,0,1200,0,0,0,-3000.0
86,1,2,1.0,0,0,0,500,100,0,0,-3000.0
86,1,3,0.0,1,1,0,500,0,0,1,-3000.0
87,0,0,1.0,0,0,0,1000,100,0,0,-6000.0
87,0,1,1.0,0,0,0,1000,100,0,0,-6000.0
87,1,2,0.0,1,2,0,400,0,0,1,-6000.0
87,1,3,1.0,0,0,0,400,100,0,0,-6000.0
88,0,0,0.0,1,2,0,900,0,0,1,-13000.0
88,0,1,2.0,0,0,0,900,100,0,0,-13000.0
88,1,2,0.0,1,1,0,600,0,0,0,-13000.0
88,1,3,0.0,1,2,0,600,0,0,1,-13000.0
89,0,0,0.0,1,1,0,900,0,0,1,-8000.0
89,0,1,0.0,1,2,0,900,0,0,1,-8000.0
89,1,2,1.0,0,0,0,600,100,0,0,-8000.0
89,1,3,0.0,1,1,0,600,0,0,1,-8000.0
90,0,0,1.0,0,0,0,1400,100,0,0,-13650.0
90,0,1,0.0,1,1,0,1400,0,0,0,-13650.0
90,1,2,0.0,1,2,0,500,0,0,1,-13650.0
90,1,3,1.0,0,0,0,500,100,0,0,-13650.0
91,0,0,0.0,1,2,0,1300,0,0,1,-7000.0
91,0,1,1.0,0,0,0,1300,100,0,0,-7000.0
91,1,2,0.0,1,1,0,500,0,0,1,-7000.0
91,1,3,2.0,0,0,0,500,100,0,0,-7000.0
92,0,0,0.0,1,1,0,1300,0,0,1,-13000.0
92,0,1,0.0,1,2,0,1300,0,0,1,-13000.0
92,1,2,1.0,0,0,0,500,100,0,1,-13000.0
92,1,3,0.0,1,2,0,500,0,0,1,-13000.0
93,0,0,1.0,0,0,0,1200,100,0,0,-2000.0
93,0,1,0.0,1,1,0,1200,0,0,1,-2000.0
93,1,2,2.0,0,0,0,400,100,0,0,-2000.0
93,1,3,0.0,1,1,0,400,0,0,0,-2000.0
94,0,0,2.0,0,0,0,1000,100,0,0,-0.0
94,0,1,1.0,0,0,0,1000,100,0,1,-0.0
94,1,2,3.0,0,0,0,300,100,0,0,-0.0
94,1,3,1.0,0,0,0,300,100,0,0,-0.0
95,0,0,3.0,0,0,0,900,100,0,0,-18000.0
95,0,1,0.0,1,2,0,900,0,0,1,-18000.0
95,1,2,0.0,1,2,0,500,0,0,1,-18000.0
95,1,3,0.0,1,2,0,500,0,0,1,-18000.0
96,0,0,0.0,1,2,0,900,0,0,1,-9000.0
96,0,1,0.0,1,1,0,900,0,0,1,-9000.0
96,1,2,0.0,1,1,0,600,0,0,0,-9000.0
96,1,3,0.0,1,1,0,600,0,0,0,-9000.0
97,0,0,0.0,1,1,0,1400,0,0,0,-6970.0
97,0,1,1.0,0,0,0,1400,100,0,1,-6970.0
97,1,2,1.0,0,0,0,400,100,0,1,-6970.0
97,1,3,1.0,0,0,0,400,100,0,1,-6970.0
98,0,0,1.0,0,0,0,1300,100,0,1,-18000.0
98,0,1,0.0,1,2,0,1300,0,0,1,-18000.0
98,1,2,0.0,1,2,0,500,0,0,1,-18000.0
98,1,3,0.0,1,2,0,500,0,0,1,-18000.0
99,0,0,2.0,0,0,0,1200,100,0,0,-3000.0
99,0,1,0.0,1,1,0,1200,0,0,0,-3000.0
99,1,2,0.0,1,1,0,600,0,0,0,-3000.0
99,1,3,0.0,1,1,0,600,0,0,0,-3000.0
100,0,0,3.0,0,0,0,1000,100,0,0,-0.0
100,0,1,1.0,0,0,0,1000,100,0,0,-0.0
100,1,2,1.0,0,0,0,500,100,0,0,-0.0
100,1,3,1.0,0,0,0,500,100,0,0,-0.0
101,0,0,0.0,1,2,0,900,0,0,1,-12000.0
